
Global mean O3 RF results using NRF method (*net*);
Case: OsloCTM3_senstest_yr20;

;Month;DU;SW clear;SW;LW inst. clear;LW inst.;LW adj.;NET adj.;
CNTR (mW m-2);1:12;
antro01-CNTR (mW m-2);1:12;-0.00031784;0.011007;0.010782;0.016919;0.010887;0.0066925;0.017475;
antro1-CNTR (mW m-2);1:12;0.0045168;0.027534;0.042004;0.21327;0.14739;0.17231;0.21431;
antro10-CNTR (mW m-2);1:12;0.044284;0.29572;0.4374;2.1415;1.4801;1.7245;2.1619;
antro100-CNTR (mW m-2);1:12;0.44329;2.8475;4.2596;21.1944;14.6642;17.1452;21.4048;
epia-CNTR (mW m-2);1:12;0.0030602;0.036156;0.046582;0.18206;0.12482;0.13595;0.18253;
nemo-CNTR (mW m-2);1:12;0.0049894;0.028038;0.044646;0.23158;0.15989;0.18911;0.23376;
munich-CNTR (mW m-2);1:12;0.0037817;0.032462;0.044829;0.19673;0.13563;0.15073;0.19556;
usdrydep-CNTR (mW m-2);1:12;0.0040373;0.019375;0.031741;0.17326;0.12024;0.14292;0.17466;
zep-CNTR (mW m-2);1:12;0.0039207;0.027619;0.040333;0.19033;0.13131;0.15014;0.19047;
maud-CNTR (mW m-2);1:12;0.0044159;0.034433;0.049311;0.22697;0.15598;0.17884;0.22815;
