,H2 burden [Tg],H2 atm loss [Tg/yr],H2 atm prod [Tg/yr],H2 soil sink [Tg/yr],H2 estimated emissions [Tg/yr],H2 atm lifetime [yrs],H2 soil sink lifetime [yrs],H2 total lifetime [yrs]
CNTR,204.61731157333332,29.16682433193649,55.80309452782843,58.01813037146545,31.381860175573514,7.015412759533292,3.5267822362295296,2.3469337372420425
antro01,204.83239662933326,29.19655469783101,55.80211980466045,58.0875059478546,31.481940841025164,7.015635877220475,3.5262728754994606,2.3467331276075085
antro1,206.768242688,29.463989854697367,55.793421426171854,58.71200135051307,32.38256977903858,7.017659309132414,3.521737258683877,2.344949456896854
antro10,226.13948416,32.128477239340526,55.706613466449035,64.96002957343164,41.38189334632313,7.0385995101908465,3.481209686094263,2.32920962103262
antro100,422.5464538453334,58.04539353262467,54.87800591828892,128.20973751702613,131.37712513136188,7.2795863397469995,3.2957438493251705,2.2686432930145344
epia,206.54873122133333,29.433302140862295,55.7940855545663,58.745556359020995,32.38477294531699,7.0175181239546145,3.515989021518827,2.3423838177901417
maud,207.17768021333333,29.49807371662058,55.79109094662188,58.67697318361496,32.383955953613665,7.02343082479314,3.5308174394923615,2.3496180325000755
maxdep,206.58943590400003,29.439920975582183,55.79397631256302,58.73413500493601,32.38007966795517,7.017323044968352,3.5173657684179442,2.3429730390268695
munich,206.66756437333333,29.450073024057353,55.79356285706368,58.720277475563755,32.37678764255743,7.017556941353235,3.519526358834686,2.3439576138944966
nemo,207.15230276266664,29.49878076808192,55.79110380953527,58.67679793397645,32.3844748925231,7.022402193205497,3.530395489470231,2.3493160556691746
usdrydep,206.3753570986666,29.4117621563789,55.79489524883385,58.765182456192534,32.38204936373758,7.0167627495895335,3.511864482893633,2.3404684524444677
zep,206.6875501226667,29.446624762715828,55.79356034172022,58.72920646895648,32.38227088995208,7.019057422987453,3.519331565154369,2.344038578775831
10CH4_SSP119,187.99616409599997,25.138182780895036,47.16971539597386,53.39832508948285,31.36679247440403,7.478510508678322,3.5206378436208112,2.3937423396298945
10CH4_SSP434,234.67152179200002,28.58783917731489,63.43064543363487,66.07736364959754,31.234557393277562,8.208788371043353,3.5514661728401045,2.47896285841248
10CH4_SSP585,244.922642432,31.362819311123374,69.03411877489856,68.87452663317563,31.20322716940045,7.809331170209366,3.5560700654460122,2.443427049316542
CNTR_SSP119,181.00313838933332,24.946185146732205,45.02313484088118,51.51067733124425,31.43372763709528,7.255744207969354,3.5138955216095416,2.367389041650403
CNTR_SSP434,224.946126848,28.301245029382507,60.42689020017661,63.458636200053256,31.332991029259155,7.948276714132531,3.544767746644565,2.451464886768394
CNTR_SSP585,234.07556198400002,31.008448578801847,65.64950825302657,65.94846258888684,31.30740291466212,7.548767278348132,3.549371020871148,2.414222556854789
antro10_SSP119,202.48711304533336,27.78254098211979,44.927615050080355,58.46458266237379,41.31950859441323,7.288286308140405,3.463415008273864,2.347754968385674
antro10_SSP434,246.94993032533333,30.970034909181763,60.32446478430668,70.56325410079263,41.20882422566772,7.973834419286349,3.4996958894864707,2.4322065475597223
antro10_SSP585,255.7035670186667,33.78684465928521,65.5418740559339,72.94483851653045,41.18980911988176,7.5681398957861825,3.505437426675778,2.395760653352149
