,h2_agwp_ch4,h2_agwp_o3,0,h2_agwp_ch4ind_o3,h2_agwp_ch4ind_h2o
CNTR,,,,,
antro01,0.4350959187725093,0.22623242735762364,0.09432801359649104,0.2539278917977019,0.059359362453721705
antro1,0.4329939496782591,0.22251606001275165,0.09493358153020381,0.25270115406540444,0.059072594548189236
antro10,0.43114113740688154,0.2187691044472947,0.09511251189386255,0.25161982764134805,0.05881981866491807
antro100,0.40975840118919893,0.21684191259470673,0.0959207648175949,0.2391405721614514,0.055902609988315005
nemo,0.5019854649914718,0.23514604467079953,0.10075466405995906,0.29296554009972336,0.06848498429264399
epia,0.38844597563594974,0.18706282981337033,0.07808393038669015,0.2267023509409448,0.05299499367062499
munich,0.4163582622050605,0.19934153082139472,0.08333537374188923,0.24299234075225679,0.05680301728997381
usdrydep,0.3563185037329149,0.17610409499321697,0.07215361859204543,0.20795232167810312,0.048611899812162206
maud,0.5007484866686863,0.23585852350661038,0.10010268513167042,0.29224362273816656,0.06831622553982285
zep,0.41123021140115756,0.1980489154938037,0.08080684348016763,0.23999954060524503,0.056103406438167296
