,deltaH2,surf_h2_per_h2_flux,surf_ch4_per_h2_flux,ch4_flux_per_h2_flux,ch4_rf_per_h2_flux,ozone_rf_per_h2_flux,h2o_rf_per_h2_flux,aerosol_rf_per_h2_flux
CNTR,0.0,,,,,,,
antro01,0.09908206317257397,6.267723877127431,1.0790824959614498,0.29561452450179393,0.41574890404402737,0.4190056666429506,0.2182021891921469,
antro1,0.990420862345104,6.271402919781969,1.120458871609513,0.30694957780734466,0.4316903940537132,0.46832314153220356,0.2244809255149326,
antro10,9.897475138736297,6.279247579046334,1.1155563597038018,0.30560653523989023,0.4298015542666808,0.4692674735667409,0.2242348507539574,
antro100,99.00414738290623,6.354133398991537,1.0593413433625058,0.2902064380389933,0.4081430327707063,0.4543988649495468,0.22324086522009193,
epia,0.9934028949267883,6.044787214441167,1.0023411694019415,0.27459124699944404,0.38618200574718015,0.4091232337211086,0.19160257067804068,
maud,0.9894210304229176,9.243913127650805,1.2892875895430216,0.35320018548650456,0.4967367224991354,0.5204917008716206,0.24767209806624135,
munich,0.984842740743474,6.320552989786463,1.07369405995229,0.2941383630826089,0.4136728474184183,0.4399948697220082,0.20468366941949773,
nemo,0.9898819723830029,7.9234367435284385,1.2954704053979147,0.35489396717221144,0.4991188377917086,0.527441903309156,0.24892353472584097,
usdrydep,0.9914909130158662,5.195443935503612,0.9249140437246112,0.2533800949083788,0.35635088276621824,0.38413017036629504,0.17670624556814918,
zep,0.990308507084464,6.6924921707057,1.063163214209806,0.2912534391139438,0.4096155231707541,0.4313911902415938,0.20129234994142653,
